name,link_player_page,slug,player_id,team,tournament_name_new
Mikael Ellertsson,https://fbref.com/en/players/c55967eb/Mikael-Ellertsson,mikael-ellertsson,c55967eb,Genoa,Serie A
Paulo Azzi,https://fbref.com/en/players/967ac202/Paulo-Azzi,paulo-azzi,967ac202,Cremonese,Serie A
Gabriele Zappa,https://fbref.com/en/players/ca3db240/Gabriele-Zappa,gabriele-zappa,ca3db240,Cagliari,Serie A
Zito Luvumbo,,zito-luvumbo,,Cagliari,Serie A
Tomás Palacios,,tomas-palacios,,Inter,Serie A
Álex Jiménez,,alex-jimenez,,Milan,Serie A
Daniel Boloca,https://fbref.com/en/players/85f7ed25/Daniel-Boloca,daniel-boloca,85f7ed25,Sassuolo,Serie A
Nahuel Estévez,https://fbref.com/en/players/cec60a2f/Nahuel-Estevez,nahuel-estevez,cec60a2f,Parma,Serie A
Pontus Almqvist,https://fbref.com/en/players/0917188a/Pontus-Almqvist,pontus-almqvist,0917188a,Parma,Serie A
Federico Baschirotto,https://fbref.com/en/players/5a08ee41/Federico-Baschirotto,federico-baschirotto,5a08ee41,Lecce,Serie A
Wladimiro Falcone,https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone,wladimiro-falcone,9f5a610b,Lecce,Serie A
Youssef Maleh,https://fbref.com/en/players/4c8845f7/Youssef-Maleh,youssef-maleh,4c8845f7,Lecce,Serie A
Morten Thorsby,https://fbref.com/en/players/d1b49282/Morten-Thorsby,morten-thorsby,d1b49282,Genoa,Serie A
Enzo Ebosse,https://fbref.com/en/players/9ba7b4fa/Enzo-Ebosse,enzo-ebosse,9ba7b4fa,Udinese,Serie A
Emil Holm,https://fbref.com/en/players/c2357b65/Emil-Holm,emil-holm,c2357b65,Bologna,Serie A
Jesper Karlsson,https://fbref.com/en/players/7952d0c2/Jesper-Karlsson,jesper-karlsson,7952d0c2,Bologna,Serie A
Michel Aebischer,https://fbref.com/en/players/f9c927de/Michel-Aebischer,michel-aebischer,f9c927de,Bologna,Serie A
Johan Vásquez,https://fbref.com/en/players/5eaed77a/Johan-Vasquez,johan-vasquez,5eaed77a,Genoa,Serie A
Morten Frendrup,https://fbref.com/en/players/f4d60499/Morten-Frendrup,morten-frendrup,f4d60499,Genoa,Serie A
Christos Mandas,,christos-mandas,,Lazio,Serie A
Yacine Adli,https://fbref.com/en/players/26777636/Yacine-Adli,yacine-adli,26777636,Milan,Serie A
Adrian Bernabe,https://fbref.com/en/players/548672b4/Adrian-Bernabe,adrian-bernabe,548672b4,Parma,Serie A
Milan Đurić,https://fbref.com/en/players/405f6586/Milan-Djuric,milan-uric,405f6586,Parma,Serie A
Alberto Cerri,https://fbref.com/en/players/1079c685/Alberto-Cerri,alberto-cerri,1079c685,Como,Serie A
Federico Ceccherini,https://fbref.com/en/players/d9624b51/Federico-Ceccherini,federico-ceccherini,d9624b51,Cremonese,Serie A
Stefan Posch,https://fbref.com/en/players/7f609bfc/Stefan-Posch,stefan-posch,7f609bfc,Bologna,Serie A
Emil Bohinen,https://fbref.com/en/players/c83c203f/Emil-Bohinen,emil-bohinen,c83c203f,Genoa,Serie A
Nik Prelec,https://fbref.com/en/players/3fecdc45/Nik-Prelec,nik-prelec,3fecdc45,Cagliari,Serie A
Jhon Lucumí,https://fbref.com/en/players/80490d7f/Jhon-Lucumi,jhon-lucumi,80490d7f,Bologna,Serie A
