slug,role,team_name_short,presenze_pred,presenze_pred.1,starts_pred,titolare_pred,fmv_pred,mv_pred,gf_pred,assist_pred,clean_sheet_pred,price
malthe-hojholt,C,Pisa,22.0,22.0,16.0,0,6.014399024504008,5.965592522115608,0.4374231302939642,0.8308151399155088,0.0,0.784
jakub-piotrowski,C,Udinese,25.0,25.0,23.0,0,6.074577064800425,5.976209114390279,1.1580790419235036,0.8202465572984122,0.0,2.7039999999999997
luca-lipani,C,Sassuolo,4.0,4.0,2.0,0,6.188115308638144,6.00902723782139,0.5733245528846708,0.4239455690687492,0.0,1.7440000000000002
antoine-bernede,C,Hellas Verona,15.0,15.0,11.0,0,5.981341780448154,5.881779967766912,0.9442904794500112,0.9646547846840028,0.0,2.32
michel-ndary-adopo,C,Cagliari,27.0,27.0,24.0,0,6.101217531686715,5.8730351864102905,2.279229841420947,2.335945783583272,0.0,3.088
lorenzo-venturino,C,Genoa,6.0,6.0,1.0,0,6.610582894249366,6.368763200326277,0.985438559607148,0.900385547196232,0.0,2.32
cheikh-tidiane-niasse,C,Hellas Verona,16.0,16.0,11.0,0,5.775966749993412,5.748666069531716,0.2931687001246742,0.2911361123187148,0.0,2.32
davide-veroli,D,Cagliari,1.0,1.0,1.0,0,5.913818434151238,5.81494088632779,0.7170236651760659,1.2685140722158037,0.0,0.67
guray-vural,C,Pisa,7.0,7.0,5.0,0,6.170674651875028,5.935665613520579,1.687324290528924,0.6243969531247304,0.0,0.5920000000000001
filippo-missori,D,Sassuolo,4.0,4.0,1.0,0,5.785687588627005,5.761994155273163,0.1656992634226981,0.0214776490135306,0.0,1.75
mateus-lusuardi,D,Pisa,3.0,3.0,2.0,0,6.0,6.0,0.142117975543721,0.0129611452661632,0.0,2.29
daniel-denoon,D,Pisa,4.0,4.0,3.0,0,5.916607148412682,5.885209953854142,0.222308769801243,0.026262008546259,0.0,1.48
giuseppe-pezzella,D,Cremonese,5.0,5.0,4.0,0,5.919881735851891,5.891779877784435,0.1690805190704288,0.0635835890723581,0.0,3.91
mihajlo-ilic,D,Bologna,5.0,5.0,4.0,0,6.040180474041201,6.004813419923602,0.1906458608044853,0.0888747581053706,0.0,0.9400000000000001
christ-owen-kouassi,D,Lecce,15.0,15.0,12.0,0,5.809132996569289,5.780929377692224,0.3445898598271554,0.254604371886905,0.0,3.0999999999999996
davide-bartesaghi,D,Milan,10.0,10.0,7.0,0,6.0,6.0,0.0810021594680561,0.0314231003707177,0.0,1.75
torbjorn-heggem,D,Bologna,8.0,8.0,7.0,0,5.959987161426852,5.907625250039313,0.4324939787184275,0.2094989364966622,0.0,3.37
zachary-athekame,D,Milan,8.0,8.0,4.0,0,5.962631461176794,5.919387637739857,0.0083679221526347,0.3261126525461033,0.0,4.18
mathias-lovik,D,Parma,2.0,2.0,1.0,0,6.0,6.0,0.0876899515767974,0.0188265782247062,0.0,1.48
edoardo-corvi,P,Parma,2.0,2.0,2.0,0,6.0,6.0,7.273927231501173e-06,0.0002545432027241,0.4236178618202832,0.685
lapo-nava,P,Cremonese,1.0,1.0,1.0,0,6.0,6.0,2.286859184005628e-06,8.47919403519367e-05,0.2596237741593077,0.685
nikita-contini-baranovsky,P,Napoli,6.0,6.0,6.0,0,5.011498848185381,6.139638456936521,2.1821781686227445e-05,0.000118199694101,1.145337187014651,0.685
