name,link_player_page,slug
Kelvin Amian,https://fbref.com/en/players/bcc81786/Kelvin-Amian,kelvin-amian
Michael Amir Murillo,https://fbref.com/en/players/349cae8f/Michael-Amir-Murillo,michael-amir-murillo
Nadiem Amiri,https://fbref.com/en/players/555d5edd/Nadiem-Amiri,nadiem-amiri
Samuel Amo-Ameyaw,https://fbref.com/en/players/9eedf0e0/Samuel-Amo-Ameyaw,samuel-amo-ameyaw
Samuel Amo-Ameyaw,https://fbref.com/en/players/9eedf0e0/Samuel-Amo-Ameyaw,samuel-amo-ameyaw
Mathis Amougou,https://fbref.com/en/players/f93cca97/Mathis-Amougou,mathis-amougou
Mathis Amougou,https://fbref.com/en/players/f93cca97/Mathis-Amougou,mathis-amougou
Mohamed Amoura,https://fbref.com/en/players/6597f8b6/Mohamed-Amoura,mohamed-amoura
Sofyan Amrabat,https://fbref.com/en/players/5a2cb25d/Sofyan-Amrabat,sofyan-amrabat
Joachim Andersen,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,joachim-andersen
Joachim Andersen,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,joachim-andersen
Elliot Anderson,https://fbref.com/en/players/de31038e/Elliot-Anderson,elliot-anderson
André,https://fbref.com/en/players/ec604e2c/Andre,andre
Benjamin André,https://fbref.com/en/players/ef9c1c95/Benjamin-Andre,benjamin-andre
Marcos André,https://fbref.com/en/players/ae86d473/Marcos-Andre,marcos-andre
Robert Andrich,https://fbref.com/en/players/e0b113a7/Robert-Andrich,robert-andrich
Angeliño,https://fbref.com/en/players/30941e96/Angelino,angelino
Lorenzo Anghelè,https://fbref.com/en/players/b2f3d550/Lorenzo-Anghele,lorenzo-anghele
Faustino Anjorin,https://fbref.com/en/players/b105919e/Faustino-Anjorin,faustino-anjorin
Waldemar Anton,https://fbref.com/en/players/5e66fa06/Waldemar-Anton,waldemar-anton
Leandro Antonetti,https://fbref.com/en/players/2febb559/Leandro-Antonetti,leandro-antonetti
Kyllian Antonio,https://fbref.com/en/players/ea36375c/Kyllian-Antonio,kyllian-antonio
Michail Antonio,https://fbref.com/en/players/ac05f970/Michail-Antonio,michail-antonio
Antoniu,https://fbref.com/en/players/af784a9e/Antoniu,antoniu
Antony,https://fbref.com/en/players/99127249/Antony,antony
Antony,https://fbref.com/en/players/99127249/Antony,antony
Anuar,https://fbref.com/en/players/c93231dc/Anuar,anuar
Dennis Appiah,https://fbref.com/en/players/feb5d3ab/Dennis-Appiah,dennis-appiah
Aritz Arambarri,https://fbref.com/en/players/f28876e5/Aritz-Arambarri,aritz-arambarri
Mauro Arambarri,https://fbref.com/en/players/58afe001/Mauro-Arambarri,mauro-arambarri
Jon Aramburu,https://fbref.com/en/players/dc7a172e/Jon-Aramburu,jon-aramburu
Julian Araujo,https://fbref.com/en/players/8f4541c2/Julian-Araujo,julian-araujo
Ronald Araújo,https://fbref.com/en/players/2bef2bca/Ronald-Araujo,ronald-araujo
Cameron Archer,https://fbref.com/en/players/05e8ca6d/Cameron-Archer,cameron-archer
Carlens Arcus,https://fbref.com/en/players/5e837126/Carlens-Arcus,carlens-arcus
Alphonse Areola,https://fbref.com/en/players/2f965a72/Alphonse-Areola,alphonse-areola
Adu Ares,https://fbref.com/en/players/a461f098/Adu-Ares,adu-ares
Jesús Areso,https://fbref.com/en/players/94e01ec6/Jesus-Areso,jesus-areso
David Argüelles,https://fbref.com/en/players/a1b81f14/David-Arguelles,david-arguelles
Joe Aribo,https://fbref.com/en/players/328f7d51/Joe-Aribo,joe-aribo
Adam Armstrong,https://fbref.com/en/players/68c720b5/Adam-Armstrong,adam-armstrong
Harrison Armstrong,https://fbref.com/en/players/de59e609/Harrison-Armstrong,harrison-armstrong
José Arnaiz,https://fbref.com/en/players/46e07328/Jose-Arnaiz,jose-arnaiz
Hákon Arnar Haraldsson,https://fbref.com/en/players/e2ae54db/Hakon-Arnar-Haraldsson,hakon-arnar-haraldsson
Marko Arnautović,https://fbref.com/en/players/00459419/Marko-Arnautovic,marko-arnautovic
Maximilian Arnold,https://fbref.com/en/players/86e119e0/Maximilian-Arnold,maximilian-arnold
Jann-Fiete Arp,https://fbref.com/en/players/c21fb312/Jann-Fiete-Arp,jann-fiete-arp
Sergio Arribas,https://fbref.com/en/players/ff31f01f/Sergio-Arribas,sergio-arribas
Kepa Arrizabalaga,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,kepa-arrizabalaga
Arthur,https://fbref.com/en/players/8a958856/Arthur,arthur
Takuma Asano,https://fbref.com/en/players/13ddc856/Takuma-Asano,takuma-asano
Raúl Asencio,https://fbref.com/en/players/4731cd4c/Raul-Asencio,raul-asencio
Marco Asensio,https://fbref.com/en/players/45af8a54/Marco-Asensio,marco-asensio
Marco Asensio,https://fbref.com/en/players/45af8a54/Marco-Asensio,marco-asensio
Kristjan Asllani,https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,kristjan-asllani
Iago Aspas,https://fbref.com/en/players/7dcf86f6/Iago-Aspas,iago-aspas
Yaser Asprilla,https://fbref.com/en/players/d139daf9/Yaser-Asprilla,yaser-asprilla
Lorenz Assignon,https://fbref.com/en/players/b026bbf6/Lorenz-Assignon,lorenz-assignon
Dehmaine Assoumani,https://fbref.com/en/players/fb32896c/Dehmaine-Assoumani,dehmaine-assoumani
Valentin Atangana Edoa,https://fbref.com/en/players/6b5edd5d/Valentin-Atangana-Edoa,valentin-atangana-edoa
Arthur Atta,https://fbref.com/en/players/d3ddf88b/Arthur-Atta,arthur-atta
Noah Atubolu,https://fbref.com/en/players/dbd1b101/Noah-Atubolu,noah-atubolu
Emil Audero,https://fbref.com/en/players/649b01d8/Emil-Audero,emil-audero
Tommaso Augello,https://fbref.com/en/players/3cd3b384/Tommaso-Augello,tommaso-augello
Carlos Augusto,https://fbref.com/en/players/8d3cd59d/Carlos-Augusto,carlos-augusto
Yann Aurel Bisseck,https://fbref.com/en/players/3963c25b/Yann-Aurel-Bisseck,yann-aurel-bisseck
Brandon Austin,https://fbref.com/en/players/5e253986/Brandon-Austin,brandon-austin
Ezequiel Ávila,https://fbref.com/en/players/253a06b9/Ezequiel-Avila,ezequiel-avila
Taiwo Awoniyi,https://fbref.com/en/players/e5478b87/Taiwo-Awoniyi,taiwo-awoniyi
Yasin Ayari,https://fbref.com/en/players/f173303a/Yasin-Ayari,yasin-ayari
Florian Ayé,https://fbref.com/en/players/718b8afd/Florian-Aye,florian-aye
André Ayew,https://fbref.com/en/players/5dbefa9d/Andre-Ayew,andre-ayew
Jordan Ayew,https://fbref.com/en/players/da052c14/Jordan-Ayew,jordan-ayew
Jordan Ayew,https://fbref.com/en/players/da052c14/Jordan-Ayew,jordan-ayew
Neil El Aynaoui,https://fbref.com/en/players/17e1261b/Neil-El-Aynaoui,neil-el-aynaoui
Ayman Azhil,https://fbref.com/en/players/ce81d82d/Ayman-Azhil,ayman-azhil
Adam Aznou,https://fbref.com/en/players/e678d983/Adam-Aznou,adam-aznou
Adam Aznou,https://fbref.com/en/players/e678d983/Adam-Aznou,adam-aznou
César Azpilicueta,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta,cesar-azpilicueta
Paulo Azzi,https://fbref.com/en/players/967ac202/Paulo-Azzi,paulo-azzi
Oussama El Azzouzi,https://fbref.com/en/players/85f476cc/Oussama-El-Azzouzi,oussama-el-azzouzi
Papa Ba,https://fbref.com/en/players/e0b0f636/Papa-Ba,papa-ba
Shavy Babicka,https://fbref.com/en/players/c6f0d5d4/Shavy-Babicka,shavy-babicka
Jacopo Bacci,https://fbref.com/en/players/9ce30308/Jacopo-Bacci,jacopo-bacci
Aliou Badara Baldé,https://fbref.com/en/players/7362a6f2/Aliou-Badara-Balde,aliou-badara-balde
Loïc Bade,https://fbref.com/en/players/114bbdee/Loic-Bade,loic-bade
Milan Badelj,https://fbref.com/en/players/e8c930bb/Milan-Badelj,milan-badelj
Benoît Badiashile,https://fbref.com/en/players/06df8256/Benoit-Badiashile,benoit-badiashile
Alex Baena,https://fbref.com/en/players/518f2234/Alex-Baena,alex-baena
Juma Bah,https://fbref.com/en/players/7b505397/Juma-Bah,juma-bah
Juma Bah,https://fbref.com/en/players/7b505397/Juma-Bah,juma-bah
Leon Bailey,https://fbref.com/en/players/3a233281/Leon-Bailey,leon-bailey
Eric Bailly,https://fbref.com/en/players/a1232f4e/Eric-Bailly,eric-bailly
Theo Bair,https://fbref.com/en/players/c724745e/Theo-Bair,theo-bair
Stefan Bajcetic,https://fbref.com/en/players/32e8417f/Stefan-Bajcetic,stefan-bajcetic
Cédric Bakambu,https://fbref.com/en/players/0af4dcf0/Cedric-Bakambu,cedric-bakambu
Mitchel Bakker,https://fbref.com/en/players/a8567629/Mitchel-Bakker,mitchel-bakker
Mitchel Bakker,https://fbref.com/en/players/a8567629/Mitchel-Bakker,mitchel-bakker
Darryl Bakola,https://fbref.com/en/players/57de24a3/Darryl-Bakola,darryl-bakola
Ridle Baku,https://fbref.com/en/players/442b56fa/Ridle-Baku,ridle-baku
Ridle Baku,https://fbref.com/en/players/442b56fa/Ridle-Baku,ridle-baku
Dilane Bakwa,https://fbref.com/en/players/2b5a35e5/Dilane-Bakwa,dilane-bakwa
Tommaso Baldanzi,https://fbref.com/en/players/102e2599/Tommaso-Baldanzi,tommaso-baldanzi
Alejandro Balde,https://fbref.com/en/players/5ccc9672/Alejandro-Balde,alejandro-balde
Keita Baldé,https://fbref.com/en/players/509a4ccb/Keita-Balde,keita-balde
Carlos Baleba,https://fbref.com/en/players/a1390d2f/Carlos-Baleba,carlos-baleba
Leonardo Balerdi,https://fbref.com/en/players/7c3ed041/Leonardo-Balerdi,leonardo-balerdi
Iván Balliu,https://fbref.com/en/players/cee88597/Ivan-Balliu,ivan-balliu
Fodé Ballo-Touré,https://fbref.com/en/players/f449640d/Fode-Ballo-Toure,fode-ballo-toure
Botond Balogh,https://fbref.com/en/players/348bafd4/Botond-Balogh,botond-balogh
Folarin Balogun,https://fbref.com/en/players/31822f8c/Folarin-Balogun,folarin-balogun
Mario Balotelli,https://fbref.com/en/players/8ff07990/Mario-Balotelli,mario-balotelli
Abdoulaye Bamba,https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,abdoulaye-bamba
Jonathan Bamba,https://fbref.com/en/players/b2bd0f6c/Jonathan-Bamba,jonathan-bamba
Mohamed Bamba,https://fbref.com/en/players/562bf675/Mohamed-Bamba,mohamed-bamba
Samuel Bamba,https://fbref.com/en/players/489d4867/Samuel-Bamba,samuel-bamba
Lameck Banda,https://fbref.com/en/players/8a6de8c7/Lameck-Banda,lameck-banda
Daniel Bandeira,https://fbref.com/en/players/56fca564/Daniel-Bandeira,daniel-bandeira
Mattia Bani,https://fbref.com/en/players/0821331c/Mattia-Bani,mattia-bani
Noahkai Banks,https://fbref.com/en/players/118e3ac3/Noahkai-Banks,noahkai-banks
Scott Banks,https://fbref.com/en/players/d01f8942/Scott-Banks,scott-banks
Adrian Baquerin,https://fbref.com/en/players/218bc8d2/Adrian-Baquerin,adrian-baquerin
Antonín Barák,https://fbref.com/en/players/01efac19/Antonin-Barak,antonin-barak
Federico Barba,https://fbref.com/en/players/c010b898/Federico-Barba,federico-barba
Valentín Barco,https://fbref.com/en/players/b9f282ec/Valentin-Barco,valentin-barco
Valentín Barco,https://fbref.com/en/players/b9f282ec/Valentin-Barco,valentin-barco
Bradley Barcola,https://fbref.com/en/players/a0d55a09/Bradley-Barcola,bradley-barcola
Melvin Bard,https://fbref.com/en/players/1ddbc7ca/Melvin-Bard,melvin-bard
Nicolò Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella,nicolo-barella
Gabriel Bares,https://fbref.com/en/players/5475a510/Gabriel-Bares,gabriel-bares
Borna Barišić,https://fbref.com/en/players/712dd708/Borna-Barisic,borna-barisic
Téo Barisic,https://fbref.com/en/players/70530825/Teo-Barisic,teo-barisic
Kike Barja,https://fbref.com/en/players/aad53e64/Kike-Barja,kike-barja
Ross Barkley,https://fbref.com/en/players/3a24769f/Ross-Barkley,ross-barkley
Aymen Barkok,https://fbref.com/en/players/a2a85828/Aymen-Barkok,aymen-barkok
Harvey Barnes,https://fbref.com/en/players/3ea50f67/Harvey-Barnes,harvey-barnes
Enzo Barrenechea,https://fbref.com/en/players/6caffe81/Enzo-Barrenechea,enzo-barrenechea
Ander Barrenetxea,https://fbref.com/en/players/200e89e1/Ander-Barrenetxea,ander-barrenetxea
Pablo Barrios,https://fbref.com/en/players/45736cec/Pablo-Barrios,pablo-barrios
Thierno Barry,https://fbref.com/en/players/52c3244b/Thierno-Barry,thierno-barry
Davide Bartesaghi,https://fbref.com/en/players/7e0b6c50/Davide-Bartesaghi,davide-bartesaghi
Marc Bartra,https://fbref.com/en/players/b742cc0d/Marc-Bartra,marc-bartra
Federico Baschirotto,https://fbref.com/en/players/5a08ee41/Federico-Baschirotto,federico-baschirotto
Daniele Baselli,https://fbref.com/en/players/ea06dd97/Daniele-Baselli,daniele-baselli
Calvin Bassey,https://fbref.com/en/players/a36524bf/Calvin-Bassey,calvin-bassey
Aboubacar Bassinga,https://fbref.com/en/players/22a312ec/Aboubacar-Bassinga,aboubacar-bassinga
Alessandro Bastoni,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,alessandro-bastoni
Augusto Batalla,https://fbref.com/en/players/fc627681/Augusto-Batalla,augusto-batalla
Michy Batshuayi,https://fbref.com/en/players/2973d8ff/Michy-Batshuayi,michy-batshuayi
Dylan Batubinsika,https://fbref.com/en/players/37d39918/Dylan-Batubinsika,dylan-batubinsika
