slug,role,team_name_short,presenze_pred,presenze_pred.1,starts_pred,titolare_pred,fmv_pred,mv_pred,gf_pred,assist_pred,clean_sheet_pred,price,prezzo_medio
tommaso-pobega,C,Bologna,18.0,18.0,12.0,0,6.18,6.02,2.41,1.25,0.0,3.35,1.0
federico-ceccherini,D,Cremonese,24.0,24.0,20.0,1,5.76,5.72,0.66,0.21,0.0,2.72,0.0
kristjan-asllani,C,Torino,14.0,14.0,9.0,0,6.24,6.0,1.26,2.51,0.0,2.06,3.0
amir-richardson,C,Fiorentina,21.0,21.0,13.0,0,5.9,5.8,1.84,0.95,0.0,1.97,0.0
enrico-del-prato,D,Parma,29.0,29.0,27.0,1,6.1,6.04,1.54,0.85,0.0,7.54,10.0
gabriele-zappa,D,Cagliari,29.0,29.0,25.0,1,5.92,5.83,1.58,1.46,0.0,2.96,1.5
sebastian-walukiewicz,D,Sassuolo,19.0,19.0,18.0,0,5.7,5.68,0.02,0.26,0.0,2.64,1.0
mehdi-taremi,A,Inter,6.0,6.0,5.0,1,6.0,6.0,1.55,1.12,0.0,1.85,0.0
riccardo-sottil,C,Lecce,23.0,23.0,19.0,0,6.22,6.01,1.68,2.44,0.0,3.75,1.5
luca-pellegrini,D,Lazio,14.0,14.0,9.0,0,5.9,5.82,0.02,1.16,0.0,2.22,2.0
yannik-engelhardt,C,Como,22.0,22.0,21.0,1,5.94,5.81,1.83,1.5,0.0,1.41,0.0
danilo-cataldi,C,Lazio,23.0,23.0,15.0,0,6.0,5.91,1.34,1.33,0.0,1.77,0.0
ibrahim-sulemana,C,Atalanta,16.0,16.0,7.0,0,6.07,5.94,2.34,0.46,0.0,3.08,1.0
samuele-angori,D,Pisa,29.0,29.0,20.0,1,5.95,5.81,1.23,1.7,0.0,6.47,7.0
simone-scuffet,P,Pisa,24.0,24.0,23.0,1,4.47,5.89,0.0,0.0,2.78,1.79,1.0
el-bilal-toure,A,Atalanta,2.0,2.0,1.0,0,6.08,6.0,1.56,0.73,0.0,5.68,1.0
alieu-fadera,C,Sassuolo,21.0,21.0,16.0,0,6.07,5.87,1.02,1.84,0.0,6.31,1.0
mergim-vojvoda,D,Como,25.0,25.0,18.0,0,5.98,5.89,0.81,1.77,0.0,7.41,10.0
simone-canestrelli,D,Pisa,30.0,30.0,28.0,1,5.89,5.8,1.75,0.43,0.0,2.64,1.0
piotr-zielinski,C,Inter,19.0,19.0,9.0,1,6.16,6.13,1.06,1.41,0.0,2.19,1.0
yerry-mina,D,Cagliari,28.0,28.0,25.0,0,5.99,5.94,1.25,0.09,0.0,5.88,5.0
kialonda-gaspar,D,Lecce,26.0,26.0,25.0,1,6.06,6.04,0.4,0.44,0.0,6.21,5.0
jacopo-fazzini,C,Fiorentina,17.0,17.0,11.0,0,6.02,5.91,1.27,1.1,0.0,6.48,3.0
idrissa-toure,C,Pisa,25.0,25.0,14.0,0,5.96,5.8,1.74,1.16,0.0,3.15,2.0
stefan-posch,D,Bologna,10.0,10.0,10.0,1,6.02,5.98,0.54,0.83,0.0,2.64,1.0
teun-koopmeiners,C,Juventus,22.0,22.0,10.0,1,6.39,5.99,4.28,2.95,0.0,15.94,19.0
morten-frendrup,C,Genoa,27.0,27.0,25.0,1,6.08,6.04,1.14,0.6,0.0,3.02,2.0
maxence-caqueret,C,Como,24.0,24.0,22.0,1,6.01,5.89,0.86,2.37,0.0,3.3,1.0
arthur-atta,C,Udinese,20.0,20.0,10.0,0,6.05,5.95,2.04,0.69,0.0,8.04,11.0
frederic-guilbert,D,Lecce,30.0,30.0,29.0,1,5.85,5.81,0.05,1.22,0.0,2.5,1.0
josep-martinez,P,Inter,12.0,12.0,12.0,0,5.34,6.2,0.0,0.0,1.6,2.42,1.0
luca-lezzerini,P,Fiorentina,15.0,15.0,15.0,0,4.5,6.18,0.0,0.0,2.1,0.64,1.0
charles-pickel,C,Cremonese,27.0,27.0,21.0,1,5.83,5.72,1.31,1.05,0.0,1.54,2.0
